family,phi,lambda,replicate,hash_rank
gaussian,0.2,0.0,54,0536c61ad058053a67c8046e80d3290611d4aec1fc541e4922fe49d910c33a84
gaussian,0.2,0.0,74,0582cd6c04d9098c3e11ebd37eb912c613c49d0bf5311f8096a83083d0881a13
gaussian,0.2,0.0,86,010d14eede55a9c24eaa1e76a5dcb575766d994befa57cdb5e13f31b656017d8
gaussian,0.2,0.0,108,037b7d681f4637074e37aa8d8787348773e76b1b561085263074975fdb18377b
gaussian,0.2,0.0,112,040d4266c4a6cad1d913a72f2c693bbade720f2eee4694eb901c9542a3889253
gaussian,0.2,0.0,149,07739892cd4160825844f669c6a9bd6abf503c0eb2746c3be671509d1b372cef
gaussian,0.2,0.0,208,0336aed7f658e0b26d230f015e54274459d867c70bfa513127403c64578a5cf9
gaussian,0.2,0.0,221,02d29cfd99095e5fc902a3ff04318ca211cd8e67454a5e550ebcb900e189cc8d
gaussian,0.2,0.0,270,08829cb752255be4b0735b5a98092120f23037d685a0db14a7facbbb0c5a0412
gaussian,0.2,0.0,298,049d08ecb756b0286f09621d80c2ad67a19a777caff31175d79a46105d9f1f99
gaussian,0.2,0.5,19,01e3c929f30c045434d50e6e77ec34a9dd384ba582136376e785354784a21c4f
gaussian,0.2,0.5,36,08c6d8d3b52bb49e69cb17847bb3538f88406845a9f281849002638d3ed74525
gaussian,0.2,0.5,45,0056ccbf4b433b04dcc422ea623ed1bd5cfd3a00bc469ac196c35973648fde9b
gaussian,0.2,0.5,139,0acdb7406031211bcf206d27d77a82040005fe61fdad0edb8545f24ff0fdceb0
gaussian,0.2,0.5,147,0a2c3b06d950028f37f20029c10abb9faa7eb0bc3c7339a311a16ba0c604b7b7
gaussian,0.2,0.5,148,04ae5a3a1d096d71cae708dd7d70ffeabc08e845ebdf5a36284de87b8605edb7
gaussian,0.2,0.5,192,0ba77231431edc2499e43fff3520c1462d6090efd51706240974f2aa7f23e858
gaussian,0.2,0.5,195,02964e92f5529dacc7b29126673d56d2093e09224bae61857568f79bfbcfb712
gaussian,0.2,0.5,220,0b9ab012a229c4b35b93237a15b68b3ae4fcdbe10616d56fc4ce74f19ba5e70e
gaussian,0.2,0.5,258,060a69e0d8613870943ba5f7be222e61db9a9a275b22bfb80d72d0c50db82295
gaussian,0.2,1.0,69,065e06fb6a88d7d4e4b55e3211f3b4b7f994d27b2e9269aa81e720512a5ba825
gaussian,0.2,1.0,92,0989ac772adbcdf219a62d219a4b547839245bf00b146bdbf7de79f753c7e166
gaussian,0.2,1.0,117,0459f42b4e6e03b1a1511a8b9270fc6b1ef822b63ade14a39c4c04505dbc1d15
gaussian,0.2,1.0,129,09e195a6763da31ec811b52b8dea2f5f97dc883d6c955ab1d518b6baf22addfa
gaussian,0.2,1.0,133,0718c4d4997352cb5e1414c0e44ac844dd018a0412a916fbd63ce9e8f5fcdf7b
gaussian,0.2,1.0,136,055a1f135ec06db8e92a186bfb5d22c8cdf7b4bd27c0cb0c63fb0d745a0cba80
gaussian,0.2,1.0,159,093933fc45fa770d1d98f68f2125e9d6b8dfa01738a8bbb1e1c0e3bb4ce4f678
gaussian,0.2,1.0,189,070c1c43556beeca6845dbe0c15c4f337a8375551b3699f0b1ccd105819b012a
