mechanism,kappa,n_cohorts,full_gate_power,full_gate_power_ci_low,full_gate_power_ci_high,aggregate_p_power,sign_gate_rate,single_unit_native_rejection_rate,median_cohort_mean_delta,mean_cohort_mean_delta,median_cohort_median_delta,median_positive_units,median_aggregate_p,median_annual_count_ac1,median_monthly_indicator_ac1,median_monthly_indicator_ac12,distance_to_amazon_delta,curve_mechanism,mechanism_level
baseline,0.0,150,0.04,0.0184591606020744,0.084513464216556,0.06,0.1066666666666666,0.0408333333333333,0.0455885023934876,0.049867783866908,0.0037054029982771,4.0,0.5449101796407185,0.02735698801775,0.510136646575381,0.4754991845074444,0.0394204976065123,persistent_regime_alignment,0.0
persistent_regime_alignment,0.2,150,0.0666666666666666,0.0366118566696074,0.1183623551160589,0.0733333333333333,0.16,0.0525,0.0383727258459856,0.0397764858565408,0.0135814372260856,4.0,0.4510978043912175,0.1127210460681178,0.5178248629438926,0.4889295146311622,0.0466362741540143,persistent_regime_alignment,0.2
persistent_regime_alignment,0.4,150,0.0933333333333333,0.0564118674770865,0.1505639312756158,0.1133333333333333,0.22,0.0708333333333333,0.0183320191331758,0.0191571708001862,0.0229243946998939,4.5,0.3612774451097804,0.3789986080141944,0.5534101790715918,0.5504853353216537,0.0666769808668241,persistent_regime_alignment,0.4
persistent_regime_alignment,0.6,150,0.1066666666666666,0.0667303696520734,0.1662462225841468,0.14,0.2666666666666666,0.08,0.0098687206449572,0.0150286293279288,0.0170695087985883,4.0,0.3393213572854291,0.6313168316651365,0.6091839866265647,0.6639175924188943,0.0751402793550428,persistent_regime_alignment,0.6
persistent_regime_alignment,0.8,150,0.08,0.0463536415186529,0.1346213637505314,0.1066666666666666,0.2066666666666666,0.0891666666666666,0.0049351448999118,0.0033287582781955,0.0076381616184605,4.0,0.4001996007984031,0.7561476655311714,0.642714790323145,0.7611023825673509,0.0800738551000881,persistent_regime_alignment,0.8
baseline,0.0,150,0.04,0.0184591606020744,0.084513464216556,0.06,0.1066666666666666,0.0408333333333333,0.0455885023934876,0.049867783866908,0.0037054029982771,4.0,0.5449101796407185,0.02735698801775,0.510136646575381,0.4754991845074444,0.0394204976065123,history_feedback,0.0
history_feedback,0.25,150,0.0666666666666666,0.0366118566696074,0.1183623551160589,0.1066666666666666,0.22,0.0675,0.0672712044333151,0.0684088992118479,0.0405501697675087,4.0,0.308383233532934,0.1685631162788308,0.5572115578840752,0.5023973764904784,0.0177377955666848,history_feedback,0.25
history_feedback,0.5,150,0.2066666666666666,0.1495889415499601,0.2783936018126448,0.22,0.4066666666666667,0.0825,0.059468325809674,0.0621672264986975,0.0496931400038338,5.0,0.2534930139720558,0.3020018060947204,0.5878748364228501,0.5380263565568546,0.025540674190326,history_feedback,0.5
history_feedback,0.75,150,0.3,0.2324082937873165,0.3775798039599141,0.3066666666666666,0.4933333333333333,0.0975,0.0644674731745754,0.0709060436987241,0.0671829599983992,5.0,0.1477045908183632,0.4043623252391015,0.6064453078146932,0.5730304852050259,0.0205415268254245,history_feedback,0.75
history_feedback,1.0,150,0.3066666666666666,0.2384700431666152,0.3845184513223743,0.3666666666666666,0.4866666666666667,0.1133333333333333,0.0736090567906956,0.0737806646994614,0.0741241997723073,5.0,0.091816367265469,0.479911549436262,0.617709241884459,0.6048412144300845,0.0113999432093043,history_feedback,1.0
