station_id,short_code,station_name,region,longitude,latitude,coverage_fixed_2018_2025,week_ge6_fraction,week_7_fraction,n_exceed_gt50,exceed_rate_gt50,neff_p_monthly_gt50
RIX/901,TE,Las Encinas Temuco,IX,-38.7487,-72.6208,0.9869952087611226,0.9832134292565948,0.9784172661870504,429,0.14875173370319,4.566895004902395
RIX/902,PLCII,Padre Las Casas II,IX,-38.7648,-72.5988,0.9969199178644764,0.9928057553956836,0.988009592326139,668,0.2293168554754548,5.407444812370239
RIX/905,TEII,Nielol Temuco,IX,-38.727,-72.58,0.999315537303217,1.0,0.9952038369304556,231,0.0791095890410958,3.98857720980786
RM/D12,LF,La Florida,RM,-33.5033,-70.5879,0.9794661190965092,0.9640287769784172,0.9544364508393284,196,0.0684835779175401,3.883135290933782
RM/D14,SA,Parque O'Higgins,RM,-33.4508,-70.6604,0.9880219028062972,0.9760191846522782,0.9616306954436452,210,0.0727398683754762,3.6469705215521393
RM/D15,PU,Pudahuel,RM,-33.4244,-70.7499,0.9822039698836412,0.9640287769784172,0.9568345323741008,367,0.1278745644599303,3.555237056152642
RM/D18,CN,Cerro Navia,RM,-33.4197,-70.7318,0.9907597535934292,0.9832134292565948,0.9760191846522782,452,0.1561312607944732,3.942164611306127
RM/D30,QU,Quilicura,RM,-33.3363,-70.7236,0.9897330595482546,0.9808153477218226,0.9664268585131894,257,0.088865836791148,3.4919692630022205
RVI/609,RGAI,Rancagua I,VI,-34.162,-70.714,0.9948665297741272,0.988009592326139,0.9832134292565948,321,0.110423116615067,3.55253997936404
RVI/611,RNG,Rengo,VI,-34.395,-70.853,0.9941820670773442,0.9928057553956836,0.9784172661870504,288,0.0991394148020654,3.3975485931008214
RVI/615,RGAII,Rancagua II,VI,-34.144,-70.737,0.997262149212868,0.9952038369304556,0.9856115107913668,389,0.1334934797529169,3.4822297303581218
RVII/709,CRCI,Curicó,VII,-34.975,-71.234,0.9996577686516084,1.0,0.9976019184652278,377,0.1290653885655597,4.124046105090353
RVII/711,TALIII,Universidad de Talca,VII,-35.407,-71.633,0.9996577686516084,1.0,0.9976019184652278,134,0.045874700445053,3.8650088626101353
RVIII/802,THNI,Consultorio - San Vicente,VIII,-36.724,-73.124,0.9965776865160848,0.9952038369304556,0.988009592326139,232,0.0796703296703296,4.000882886816626
RVIII/804,HPNIII,JUNJI,VIII,-36.781,-73.116,0.9996577686516084,1.0,0.9976019184652278,456,0.156110920917494,4.284718554034862
RVIII/806,THNV,Inpesca,VIII,-36.737,-73.104,0.997946611909651,0.9952038369304556,0.9952038369304556,348,0.1193415637860082,4.055869457445088
RVIII/810,CHLI,INIA. Chillán,VIII,-36.595,-72.089,0.998631074606434,0.9976019184652278,0.9928057553956836,154,0.0527758738862234,4.429356194740295
RVIII/832,CNH,Balneario Curanilahue,VIII,-37.485,-73.332,0.999315537303217,0.9976019184652278,0.9976019184652278,261,0.0893835616438356,4.466895008970985
RVIII/837,THNVI,Nueva Libertad,VIII,-36.736,-73.119,0.9924709103353868,0.988009592326139,0.988009592326139,219,0.0755172413793103,4.296592620779175
RVIII/841,HQI,Hualqui,VIII,-36.977,-72.932,0.9917864476386036,0.9904076738609112,0.9808153477218226,206,0.0710835058661145,4.548027716450594
RVIII/854,CHYI,Punteras,VIII,-36.923,-73.036,0.9965776865160848,0.9952038369304556,0.9904076738609112,105,0.0360576923076923,4.851325882558054
RVIII/873,CHLII,Puren,VIII,-36.616,-72.093,0.9996577686516084,1.0,0.9976019184652278,479,0.1639849366655255,4.850638961613428
RVIII/874,LAII,Los Ángeles Oriente,VIII,-37.463,-72.325,0.9828884325804244,0.9808153477218226,0.9760191846522782,105,0.0365598885793871,5.199355045521616
RVIII/875,LAI,21 de mayo,VIII,-37.471,-72.361,0.9989733059548256,0.9976019184652278,0.9952038369304556,432,0.1479958890030832,5.208727826735544
RX/A01,OS,Osorno,X,-40.5845,-73.1187,0.997946611909651,0.9976019184652278,0.9952038369304556,629,0.2157064471879286,5.672571500304316
RX/A07,PMII,Mirasol,X,-41.4795,-72.9688,1.0,1.0,1.0,352,0.1204654346338124,5.244669591094444
RX/A08,PMI,Alerce,X,-41.3992,-72.8995,0.9962354551676934,0.9928057553956836,0.9856115107913668,317,0.1088972861559601,4.658716094585288
RXI/B03,COI,Coyhaique I,XI,-45.5799,-72.0611,0.999315537303217,0.9976019184652278,0.9976019184652278,704,0.2410958904109589,5.303878315012322
RXI/B04,COII,Coyhaique II,XI,-45.579,-72.05,1.0,1.0,1.0,749,0.2563312799452429,5.320691503153492
RXI/B05,VI,Vialidad,XI,-45.404,-72.6963,0.9736481861738536,0.9640287769784172,0.9568345323741008,278,0.0977152899824253,4.222860157818284
RXIV/E04,LU,La Union,XIV,-40.2869,-73.0767,0.9907597535934292,0.9904076738609112,0.9832134292565948,393,0.1357512953367875,4.833275114309975
