station_id,short_code,station_name,region,neff_fixed,neff_equalized,p_native_fixed,p_index_fixed,p_native_equalized,p_index_equalized,center_gap_fixed,center_gap_equalized,width_ratio_fixed,width_ratio_equalized,outcome_fixed,outcome_equalized,delta_index_p,delta_center_gap,delta_width_ratio
RIX/901,TE,Las Encinas Temuco,IX,4.566895004902395,11.996063671978204,0.606,0.002,0.618,0.11,0.3920018701252966,0.2107599395222767,1.6853261448411496,0.7919174077745629,index_only,neither,0.108,-0.18124193060301988,-0.8934087370665867
RIX/902,PLCII,Padre Las Casas II,IX,5.407444812370239,11.99908693065845,0.892,0.002,0.782,0.076,0.517926388836718,0.2340573900737063,1.0181102748785569,1.1838208878634116,index_only,neither,0.074,-0.28386899876301175,0.16571061298485468
RIX/905,TEII,Nielol Temuco,IX,3.98857720980786,11.998929597216751,0.3,0.002,0.652,0.348,0.4898688346883468,0.0996252045034228,0.7177620292781985,0.8676543047884353,index_only,neither,0.346,-0.39024363018492403,0.14989227551023676
RM/D12,LF,La Florida,RM,3.883135290933782,11.997145609993932,0.022,0.002,0.212,0.17,0.2666322092720995,0.0097281085722649,1.415091218051324,0.925791304026057,both,neither,0.168,-0.2569041006998346,-0.48929991402526696
RM/D14,SA,Parque O'Higgins,RM,3.6469705215521393,11.98851049812034,0.15,0.002,0.346,0.684,0.3577725593967611,-0.1465390444619665,1.390757223441975,0.8165095454150942,index_only,neither,0.682,-0.5043116038587276,-0.5742476780268807
RM/D15,PU,Pudahuel,RM,3.555237056152642,11.99727901959679,0.262,0.002,0.508,0.314,0.4725543959383089,0.0718631057710337,1.1386289978102806,0.7155319386286922,index_only,neither,0.312,-0.40069129016727517,-0.42309705918158835
RM/D18,CN,Cerro Navia,RM,3.942164611306127,11.998806007670025,0.408,0.002,0.344,0.03,0.49047590514121,0.1939226177061292,1.274454488994414,0.6356614747754848,index_only,index_only,0.027999999999999997,-0.2965532874350808,-0.6387930142189292
RM/D30,QU,Quilicura,RM,3.4919692630022205,11.995731821543258,0.256,0.002,0.314,0.286,0.4299593850733331,-0.0027602738383261,1.4127719167372832,0.8526575803341738,index_only,neither,0.284,-0.4327196589116592,-0.5601143364031094
RVI/609,RGAI,Rancagua I,VI,3.55253997936404,11.995509154675233,0.522,0.002,0.916,0.768,0.4729413551070025,0.0994301449757852,1.284172276638496,0.8629072375097436,index_only,neither,0.766,-0.37351121013121735,-0.42126503912875235
RVI/611,RNG,Rengo,VI,3.3975485931008214,11.997842577841508,0.306,0.002,0.566,0.502,0.4741179700727589,0.0227105626487744,1.3474515096532431,0.9069658961414409,index_only,neither,0.5,-0.4514074074239845,-0.44048561351180227
RVI/615,RGAII,Rancagua II,VI,3.4822297303581218,11.995467173206412,0.596,0.002,0.726,0.256,0.5084088439420773,0.1819090199418068,1.1163241239025778,0.8591645481116303,index_only,neither,0.254,-0.3264998240002705,-0.2571595757909475
RVII/709,CRCI,Curicó,VII,4.124046105090353,11.998028007387964,0.83,0.002,0.036,0.002,0.448212782590607,0.1274743069721727,1.3476857128524702,0.6200368654329645,index_only,both,0.0,-0.32073847561843427,-0.7276488474195056
RVII/711,TALIII,Universidad de Talca,VII,3.8650088626101353,11.991367406247017,0.14,0.002,0.502,0.384,0.3219000005567277,0.0041264233905821,0.5413551566472107,0.6884892747408916,index_only,neither,0.382,-0.31777357716614557,0.14713411809368093
RVIII/802,THNI,Consultorio - San Vicente,VIII,4.000882886816626,11.99762347786745,0.598,0.004,1.0,1.0,0.4100158445673914,0.0687044307347167,0.9865017881045042,0.6516698195725568,index_only,neither,0.996,-0.34131141383267466,-0.3348319685319474
RVIII/804,HPNIII,JUNJI,VIII,4.284718554034862,11.999243499872666,0.944,0.004,0.16,0.026,0.4400117392525328,0.0891435959101683,1.573542455498571,0.6343408291901526,index_only,index_only,0.022,-0.3508681433423645,-0.9392016263084185
RVIII/806,THNV,Inpesca,VIII,4.055869457445088,11.997799705127504,0.36,0.002,0.81,0.29,0.4713078163380432,0.2213863177669752,0.8840973702390943,0.5950590192882657,index_only,neither,0.288,-0.249921498571068,-0.28903835095082864
RVIII/810,CHLI,INIA. Chillán,VIII,4.429356194740295,11.99308076260903,0.28,0.004,0.614,0.1,0.3407454048776904,0.1839619860072129,1.2611954621398032,0.9527170571142208,index_only,neither,0.096,-0.1567834188704775,-0.3084784050255823
RVIII/832,CNH,Balneario Curanilahue,VIII,4.466895008970985,11.997113005697338,0.044,0.002,1.0,1.0,0.3464480464297271,0.0969133835725886,1.3840027023211143,0.6915869855852568,both,neither,0.998,-0.2495346628571385,-0.6924157167358576
