condition,iters,median_spec_error,median_q90_spec_error,median_sd_theta,median_theta
hard_count,10,0.003188600220609,0.0040431569595337,0.0775867771377064,1.0
hard_count,30,0.0028594214788808,0.0039324332784072,0.0779187238334505,1.0
hard_count,100,0.0028594214788808,0.0039324332784072,0.0779187238334505,1.0
hard_count,300,0.0028594214788808,0.0039324332784072,0.0779187238334505,1.0
mean_cubic,10,0.0002259845977227,0.000304558598869,0.0781591888709661,1.0
mean_cubic,30,0.0001870495523686,0.0002497572653188,0.0769266573068781,1.0
mean_cubic,100,0.0001870495523686,0.0002497572653188,0.0769266573068781,1.0
mean_cubic,300,0.0001870495523686,0.0002497572653188,0.0769266573068781,1.0
soft_tau0.01,10,0.0017650149284767,0.0024043772841066,0.0791018919847041,1.0
soft_tau0.01,30,0.0014844745391891,0.0021204617099093,0.0752513880464013,1.0
soft_tau0.01,100,0.0014756485116021,0.0021204617099093,0.0752513880464013,1.0
soft_tau0.01,300,0.0014756485116021,0.0021204617099093,0.0752513880464013,1.0
