condition,condition_type,lambda_value,tau,statistic,phi,n,oracle_reject_rate,native_reject_rate,index_reject_rate,index_only_vs_native,native_only_vs_index,index_only_count,native_only_count,paired_exact_p,index_only_vs_oracle,oracle_only_vs_index,median_null_sd_oracle,median_null_sd_native,median_null_sd_index,median_sd_ratio_native_oracle,median_sd_ratio_index_oracle,median_wasserstein_native_oracle_scaled,median_wasserstein_index_oracle_scaled,median_index_spectral_error,median_native_spectral_error
mean_raw,mean_raw,,,ntv,0.2,100,0.03,0.04,0.05,0.05,0.04,5,4,1.0,0.05,0.03,0.040776673851059306,0.027600595709779602,0.018238954767828164,0.6801495906569621,0.44969986826783415,0.5624311227072144,0.7143171086655558,0.0001835815428912622,0.0002234658338465916
mean_raw,mean_raw,,,ferro_segers,0.2,100,0.08,0.05,0.05,0.01,0.01,1,1,1.0,0.02,0.05,0.08586993434307924,0.08132912952232324,0.08225786174244404,0.9481080555067627,0.9692554037200958,0.1452926478468403,0.14038167078030434,0.0001835815428912622,0.0002234658338465916
mean_cubic,mean_cubic,,,ntv,0.2,100,0.05,0.04,0.04,0.04,0.04,4,4,1.0,0.03,0.04,0.04051396473628417,0.027870489210335685,0.018231547865984986,0.6890450603665014,0.45338635199267685,0.5598155252033803,0.7140449501500477,0.00018661515282697487,0.0002234658338465916
mean_cubic,mean_cubic,,,ferro_segers,0.2,100,0.08,0.04,0.04,0.02,0.02,2,2,1.0,0.01,0.05,0.07301014106726555,0.07034747142248275,0.06704059134236644,0.946586041971369,0.9045034941278722,0.1286587951369988,0.14959678410688496,0.00018661515282697487,0.0002234658338465916
count_lam0_raw,hard_raw,0.0,0.0,ntv,0.2,100,0.02,0.05,0.01,0.01,0.05,1,5,0.21875,0.01,0.02,0.042892867651528485,0.037934656327796565,0.021705591773961995,0.8862730285117919,0.5080329324991828,0.32554535151864705,0.6471542394184078,0.01642343168380979,0.0002234658338465916
count_lam4_raw,hard_raw,4.0,0.0,ntv,0.2,100,0.04,0.04,0.03,0.02,0.03,2,3,1.0,0.02,0.03,0.043568770563020214,0.0409056256135977,0.024634208086801,0.9184031416829516,0.5630494649887768,0.2227666601401079,0.5862217944346173,0.027121973461194073,0.0002234658338465916
soft_lam0_tau2_cubic,soft,0.0,2.0,ntv,0.2,100,0.05,0.03,0.05,0.05,0.03,5,3,0.7265625,0.04,0.04,0.04051053078109698,0.027898132691278554,0.018451888367529798,0.6870024262026724,0.4526701801928738,0.557414416105867,0.714901274513043,0.00019148360241527424,0.0002234658338465916
soft_lam0_tau2_cubic,soft,0.0,2.0,ferro_segers,0.2,100,0.05,0.04,0.04,0.0,0.0,0,0,1.0,0.0,0.01,0.0733740411684159,0.06886440408432863,0.06910742690469454,0.9426476999364743,0.9241029628601085,0.14884168244434587,0.13388951928569928,0.00019148360241527424,0.0002234658338465916
soft_lam0_tau1_cubic,soft,0.0,1.0,ntv,0.2,100,0.04,0.05,0.05,0.03,0.03,3,3,1.0,0.03,0.02,0.04075982161123819,0.0284999777291148,0.01796807387224669,0.6990144495605383,0.44278782015840557,0.5325981346556083,0.7417503237339487,0.00018777838576349102,0.0002234658338465916
soft_lam0_tau1_cubic,soft,0.0,1.0,ferro_segers,0.2,100,0.04,0.05,0.04,0.0,0.01,0,1,1.0,0.01,0.01,0.07128231387496328,0.06671472851524149,0.06768254952987243,0.9098303696131107,0.940545029494144,0.15835345394505934,0.15307168736921523,0.00018777838576349102,0.0002234658338465916
soft_lam0_tau0.5_cubic,soft,0.0,0.5,ntv,0.2,100,0.04,0.06,0.03,0.01,0.04,1,4,0.375,0.03,0.04,0.04116287720311061,0.030571143512029927,0.018023955370975234,0.7421061881287461,0.4376954314981556,0.4929731131076708,0.7298011349389308,0.00018825589736875653,0.0002234658338465916
soft_lam0_tau0.5_cubic,soft,0.0,0.5,ferro_segers,0.2,100,0.02,0.05,0.04,0.01,0.02,1,2,1.0,0.03,0.01,0.07165275882588025,0.06426104829164611,0.06776908138472515,0.8897062011216378,0.9317428592156396,0.14669327852682207,0.13309413757781277,0.00018825589736875653,0.0002234658338465916
