family,phi,lambda,observable,block_years,n,annual_rejection_rate,native_rejection_rate,mechanistic_misattribution_rate,native_only_rate,median_null_gap,annual_valid_fraction,native_valid_fraction,annual_spectral_error_median,native_spectral_error_median,exact_total,exact_group
gaussian,0.2,0.0,count,50,300,0.12666666666666668,0.04666666666666667,0.08,0.0,0.0,1.0,1.0,0.0020262747071119,0.00492879957883045,1.0,1.0
gaussian,0.2,0.0,count,252,300,0.12666666666666668,0.04,0.08666666666666667,0.0,0.0,1.0,1.0,0.0020262747071119,0.0002228128641374,1.0,1.0
gaussian,0.2,0.0,maxrun,50,300,0.21666666666666667,0.043333333333333335,0.17333333333333334,0.0,0.017829565161522648,1.0,1.0,0.0150994131419546,0.00492879957883045,1.0,1.0
gaussian,0.2,0.0,maxrun,252,300,0.21666666666666667,0.04666666666666667,0.17,0.0,0.0170456776609634,1.0,1.0,0.0150994131419546,0.0002228128641374,1.0,1.0
gaussian,0.2,0.5,count,50,300,0.13,0.043333333333333335,0.08666666666666667,0.0,0.0,1.0,1.0,0.00216235938531055,0.0049505268006965,1.0,1.0
gaussian,0.2,0.5,count,252,300,0.13,0.04666666666666667,0.08333333333333333,0.0,0.0,1.0,1.0,0.00216235938531055,0.0002234607252763,1.0,1.0
gaussian,0.2,0.5,maxrun,50,300,0.15666666666666668,0.06,0.09666666666666666,0.0,0.0,1.0,1.0,0.0132681508489352,0.0049505268006965,1.0,1.0
gaussian,0.2,0.5,maxrun,252,300,0.15666666666666668,0.056666666666666664,0.1,0.0,0.0,1.0,1.0,0.0132681508489352,0.0002234607252763,1.0,1.0
gaussian,0.2,1.0,count,50,300,0.17,0.05333333333333334,0.11666666666666667,0.0,0.0,1.0,1.0,0.0027392238487687,0.00493036416483025,1.0,1.0
gaussian,0.2,1.0,count,252,300,0.17,0.05333333333333334,0.11666666666666667,0.0,0.0,1.0,1.0,0.0027392238487687,0.0002235994360859,1.0,1.0
gaussian,0.2,1.0,maxrun,50,300,0.07333333333333333,0.05,0.03,0.006666666666666667,0.0,1.0,1.0,0.0109165378234303,0.00493036416483025,1.0,1.0
gaussian,0.2,1.0,maxrun,252,300,0.07333333333333333,0.04666666666666667,0.03,0.0033333333333333335,0.0,1.0,1.0,0.0109165378234303,0.0002235994360859,1.0,1.0
gaussian,0.2,2.0,count,50,300,0.23333333333333334,0.04666666666666667,0.18666666666666668,0.0,0.01159604284604275,1.0,1.0,0.00333698481629385,0.0049628568642283,1.0,1.0
gaussian,0.2,2.0,count,252,300,0.23333333333333334,0.05333333333333334,0.18,0.0,0.00937967918001195,1.0,1.0,0.00333698481629385,0.0002240407750298,1.0,1.0
gaussian,0.2,2.0,maxrun,50,300,0.15333333333333332,0.043333333333333335,0.11,0.0,0.0,1.0,1.0,0.00650670471026075,0.0049628568642283,1.0,1.0
gaussian,0.2,2.0,maxrun,252,300,0.15333333333333332,0.043333333333333335,0.11,0.0,0.0,1.0,1.0,0.00650670471026075,0.0002240407750298,1.0,1.0
gaussian,0.2,4.0,count,50,300,0.14666666666666667,0.043333333333333335,0.10333333333333333,0.0,0.0,1.0,1.0,0.0067305607650778,0.0049441016960003505,1.0,1.0
gaussian,0.2,4.0,count,252,300,0.14666666666666667,0.05333333333333334,0.09333333333333334,0.0,0.0,1.0,1.0,0.0067305607650778,0.0002229660106773,1.0,1.0
gaussian,0.2,4.0,maxrun,50,300,0.17333333333333334,0.02666666666666667,0.14666666666666667,0.0,0.00733418282176625,1.0,1.0,0.00603132642845505,0.0049441016960003505,1.0,1.0
gaussian,0.2,4.0,maxrun,252,300,0.17333333333333334,0.02666666666666667,0.14666666666666667,0.0,0.013843203930597,1.0,1.0,0.00603132642845505,0.0002229660106773,1.0,1.0
gaussian,0.5,0.0,count,50,300,0.08333333333333333,0.06,0.02666666666666667,0.0033333333333333335,0.0,1.0,1.0,0.00103792617439635,0.00512599835110645,1.0,1.0
gaussian,0.5,0.0,count,252,300,0.08333333333333333,0.043333333333333335,0.04,0.0,0.0,1.0,1.0,0.00103792617439635,0.00023008217963750002,1.0,1.0
gaussian,0.5,0.0,maxrun,50,300,0.07666666666666666,0.03,0.04666666666666667,0.0,0.0,1.0,1.0,0.00424686936206185,0.00512599835110645,1.0,1.0
gaussian,0.5,0.0,maxrun,252,300,0.07666666666666666,0.023333333333333334,0.056666666666666664,0.0033333333333333335,0.0,1.0,1.0,0.00424686936206185,0.00023008217963750002,1.0,1.0
gaussian,0.5,0.5,count,50,300,0.07333333333333333,0.05,0.02666666666666667,0.0033333333333333335,0.0,1.0,1.0,0.0010589690353447999,0.0051507722264988,1.0,1.0
gaussian,0.5,0.5,count,252,300,0.07333333333333333,0.04666666666666667,0.02666666666666667,0.0,0.0,1.0,1.0,0.0010589690353447999,0.00023017907179094998,1.0,1.0
gaussian,0.5,0.5,maxrun,50,300,0.08666666666666667,0.06333333333333334,0.03,0.006666666666666667,0.0,1.0,1.0,0.00364666584087125,0.0051507722264988,1.0,1.0
gaussian,0.5,0.5,maxrun,252,300,0.08666666666666667,0.06666666666666667,0.02,0.0,0.0,1.0,1.0,0.00364666584087125,0.00023017907179094998,1.0,1.0
gaussian,0.5,1.0,count,50,300,0.08666666666666667,0.04666666666666667,0.04666666666666667,0.006666666666666667,0.0,1.0,1.0,0.00131278106162185,0.0051206968283122,1.0,1.0
gaussian,0.5,1.0,count,252,300,0.08666666666666667,0.04,0.04666666666666667,0.0,0.0,1.0,1.0,0.00131278106162185,0.0002300135143296,1.0,1.0
gaussian,0.5,1.0,maxrun,50,300,0.09333333333333334,0.07333333333333333,0.02666666666666667,0.006666666666666667,0.0,1.0,1.0,0.0033990872462924,0.0051206968283122,1.0,1.0
gaussian,0.5,1.0,maxrun,252,300,0.09333333333333334,0.06666666666666667,0.02666666666666667,0.0,0.0,1.0,1.0,0.0033990872462924,0.0002300135143296,1.0,1.0
gaussian,0.5,2.0,count,50,300,0.09333333333333334,0.05,0.043333333333333335,0.0,0.0,1.0,1.0,0.00158357870943695,0.005133837119410799,1.0,1.0
gaussian,0.5,2.0,count,252,300,0.09333333333333334,0.05333333333333334,0.043333333333333335,0.0033333333333333335,0.0,1.0,1.0,0.00158357870943695,0.0002303593715282,1.0,1.0
gaussian,0.5,2.0,maxrun,50,300,0.10666666666666667,0.043333333333333335,0.06333333333333334,0.0,0.0,1.0,1.0,0.00261280447013805,0.005133837119410799,1.0,1.0
gaussian,0.5,2.0,maxrun,252,300,0.10666666666666667,0.05,0.056666666666666664,0.0,0.0,1.0,1.0,0.00261280447013805,0.0002303593715282,1.0,1.0
gaussian,0.5,4.0,count,50,300,0.30666666666666664,0.056666666666666664,0.25,0.0,0.0620588696004717,1.0,1.0,0.0032254214817556,0.0051077217472432004,1.0,1.0
gaussian,0.5,4.0,count,252,300,0.30666666666666664,0.06,0.24666666666666667,0.0,0.07100023028326136,1.0,1.0,0.0032254214817556,0.00023037824885395,1.0,1.0
gaussian,0.5,4.0,maxrun,50,300,0.25333333333333335,0.03666666666666667,0.21666666666666667,0.0,0.0005798806324532,1.0,1.0,0.00322780384073995,0.0051077217472432004,1.0,1.0
gaussian,0.5,4.0,maxrun,252,300,0.25333333333333335,0.05,0.20333333333333334,0.0,0.01332865706714425,1.0,1.0,0.00322780384073995,0.00023037824885395,1.0,1.0
gaussian,0.8,0.0,count,50,300,0.056666666666666664,0.056666666666666664,0.006666666666666667,0.006666666666666667,0.0,1.0,1.0,0.0008266007247086499,0.005698182049242001,1.0,1.0
gaussian,0.8,0.0,count,252,300,0.056666666666666664,0.043333333333333335,0.016666666666666666,0.0033333333333333335,0.0,1.0,1.0,0.0008266007247086499,0.00024852497491035,1.0,1.0
