mechanism,kappa,cohort_replicate,n_units,positive_units,sign_gate_6of8,aggregate_stat_mean_delta,aggregate_p,aggregate_reject_005,full_gate_pass,mean_delta_theta,median_delta_theta,mean_theta_obs,mean_theta_null_center,unit_native_reject_fraction,unit_positive_fraction,native_null_valid_fraction_min,native_spectral_error_median,native_count_exact_fraction_min,native_group_count_exact_fraction_min,injection_multiset_exact_all,injection_event_count_exact_all
baseline,0.0,0,8,3,False,0.043819491712241,0.6167664670658682,False,False,0.043819491712241,0.0,0.9362169594768314,0.9800364511890725,0.0,0.375,1.0,0.0054521886002399,1.0,1.0,True,True
baseline,0.0,1,8,3,False,0.0624354386519663,0.4151696606786427,False,False,0.0624354386519663,0.0,0.8741256179858836,0.93656105663785,0.0,0.375,1.0,0.0056617508092896,1.0,1.0,True,True
baseline,0.0,2,8,3,False,0.0595713979424362,0.497005988023952,False,False,0.0595713979424362,0.0,0.9049886443360772,0.9645600422785136,0.125,0.375,1.0,0.005474849221413,1.0,1.0,True,True
baseline,0.0,3,8,3,False,0.029463206463805,0.7584830339321357,False,False,0.029463206463805,0.0,0.9381253080567672,0.9675885145205722,0.0,0.375,1.0,0.0055379056342828,1.0,1.0,True,True
baseline,0.0,4,8,4,False,0.0764487233210144,0.2255489021956087,False,False,0.0764487233210144,0.0062576286662527,0.858851678159164,0.9353004014801783,0.125,0.5,1.0,0.0057255795671573,1.0,1.0,True,True
baseline,0.0,5,8,2,False,0.0025437793783043,0.9500998003992016,False,False,0.0025437793783043,0.0,0.9816939474854784,0.9842377268637827,0.0,0.25,1.0,0.0052857064712862,1.0,1.0,True,True
baseline,0.0,6,8,4,False,0.106501007917505,0.0978043912175648,False,False,0.106501007917505,0.0276424287856071,0.8598619890714614,0.9663629969889664,0.125,0.5,1.0,0.0055821067853916,1.0,1.0,True,True
baseline,0.0,7,8,5,False,0.0966919990247073,0.1676646706586826,False,False,0.0966919990247073,0.063705192629017,0.8326069839113643,0.9292989829360716,0.25,0.625,1.0,0.005322361536126,1.0,1.0,True,True
baseline,0.0,8,8,4,False,0.0351656990628232,0.5528942115768463,False,False,0.0351656990628232,0.0042931145244673,0.8672066875338451,0.9023723865966684,0.125,0.5,1.0,0.0054292300731404,1.0,1.0,True,True
baseline,0.0,9,8,5,False,0.0328901267245898,0.5109780439121756,False,False,0.0328901267245898,0.0180318249705403,0.8683826088314496,0.9012727355560396,0.0,0.625,1.0,0.0058685608199565,1.0,1.0,True,True
baseline,0.0,10,8,5,False,0.0545753681503834,0.4471057884231537,False,False,0.0545753681503834,0.0311583561796898,0.8722713547347946,0.926846722885178,0.0,0.625,1.0,0.0053058217866013,1.0,1.0,True,True
baseline,0.0,11,8,3,False,0.018584619041229,0.6906187624750499,False,False,0.018584619041229,0.0,0.9048144155204932,0.923399034561722,0.0,0.375,1.0,0.0054749806654161,1.0,1.0,True,True
baseline,0.0,12,8,4,False,0.0744560317897311,0.2834331337325349,False,False,0.0744560317897311,0.0540547323587507,0.8614548282513894,0.9359108600411205,0.125,0.5,1.0,0.0055094774352862,1.0,1.0,True,True
baseline,0.0,13,8,4,False,0.0041414204424742,0.7744510978043913,False,False,0.0041414204424742,0.0025387303850973,0.89818984898031,0.9023312694227842,0.0,0.5,1.0,0.0061386995329932,1.0,1.0,True,True
baseline,0.0,14,8,5,False,0.1126172110985948,0.1257485029940119,False,False,0.1126172110985948,0.0865614677423489,0.8500599424993338,0.9626771535979286,0.125,0.625,1.0,0.0057506550431659,1.0,1.0,True,True
baseline,0.0,15,8,5,False,0.1002976611056288,0.1197604790419161,False,False,0.1002976611056288,0.1332901225710753,0.8238483155365927,0.9241459766422216,0.0,0.625,1.0,0.0056443726982001,1.0,1.0,True,True
baseline,0.0,16,8,1,False,0.0182290728984674,0.8203592814371258,False,False,0.0182290728984674,-0.0105430389461055,0.960010470826112,0.9782395437245794,0.0,0.125,1.0,0.0053302121445734,1.0,1.0,True,True
baseline,0.0,17,8,2,False,0.0358624492706504,0.6187624750499002,False,False,0.0358624492706504,0.0,0.922933129637115,0.9587955789077656,0.0,0.25,1.0,0.0054661947032839,1.0,1.0,True,True
baseline,0.0,18,8,3,False,0.0270450611316785,0.780439121756487,False,False,0.0270450611316785,0.0,0.951527993070038,0.9785730542017168,0.0,0.375,1.0,0.0055220360146178,1.0,1.0,True,True
baseline,0.0,19,8,5,False,0.0774275906439775,0.3772455089820359,False,False,0.0774275906439775,0.0649413989579277,0.8982312411620863,0.9756588318060638,0.125,0.625,1.0,0.0056167554215731,1.0,1.0,True,True
baseline,0.0,20,8,2,False,-0.0232710516648595,0.934131736526946,False,False,-0.0232710516648595,0.0,0.9656653759635896,0.9423943242987302,0.0,0.25,1.0,0.0054638207533932,1.0,1.0,True,True
baseline,0.0,21,8,4,False,0.0473465412845121,0.5109780439121756,False,False,0.0473465412845121,0.0277332621082621,0.9124506225448414,0.9597971638293537,0.0,0.5,1.0,0.0055015755817291,1.0,1.0,True,True
baseline,0.0,22,8,4,False,0.0005323872815151,0.906187624750499,False,False,0.0005323872815151,0.0040983606557377,0.9619232414688038,0.962455628750319,0.0,0.5,1.0,0.0055794073107706,1.0,1.0,True,True
baseline,0.0,23,8,2,False,0.02501079122444,0.7644710578842315,False,False,0.02501079122444,0.0,0.9464144893347516,0.9714252805591916,0.0,0.25,1.0,0.005427853722434,1.0,1.0,True,True
baseline,0.0,24,8,3,False,0.0069568521458008,0.8602794411177644,False,False,0.0069568521458008,0.0,0.9404203329019424,0.9473771850477432,0.0,0.375,1.0,0.0055807956291132,1.0,1.0,True,True
baseline,0.0,25,8,4,False,0.0548033746061496,0.469061876247505,False,False,0.0548033746061496,0.0299145299145299,0.9047108007642604,0.9595141753704098,0.0,0.5,1.0,0.0051993875635359,1.0,1.0,True,True
baseline,0.0,26,8,3,False,0.0011714136148441,0.9540918163672656,False,False,0.0011714136148441,0.0,0.9787471528271094,0.9799185664419536,0.0,0.375,1.0,0.0055689645633661,1.0,1.0,True,True
baseline,0.0,27,8,4,False,0.0698829935938486,0.3512974051896207,False,False,0.0698829935938486,0.0282290413156839,0.8724450775379549,0.9423280711318036,0.125,0.5,1.0,0.005337619259955,1.0,1.0,True,True
baseline,0.0,28,8,7,True,0.1618475270692542,0.0079840319361277,True,True,0.1618475270692542,0.0859122277303401,0.7920866175965375,0.9539341446657916,0.25,0.875,1.0,0.0054348185531874,1.0,1.0,True,True
baseline,0.0,29,8,4,False,0.0872516869007932,0.2634730538922156,False,False,0.0872516869007932,0.060832791151594,0.848175493466604,0.9354271803673972,0.0,0.5,1.0,0.0053200268955717,1.0,1.0,True,True
baseline,0.0,30,8,4,False,0.0131138500031899,0.8902195608782435,False,False,0.0131138500031899,0.0226348325802295,0.9639015258264224,0.9770153758296122,0.0,0.5,1.0,0.0054050982748473,1.0,1.0,True,True
baseline,0.0,31,8,2,False,0.0281511559619965,0.7145708582834331,False,False,0.0281511559619965,0.0,0.9431816886926304,0.9713328446546268,0.0,0.25,1.0,0.0054717311314611,1.0,1.0,True,True
baseline,0.0,32,8,2,False,0.0473210350869723,0.5888223552894212,False,False,0.0473210350869723,0.0,0.9394802140178417,0.986801249104814,0.0,0.25,1.0,0.0058972601212112,1.0,1.0,True,True
baseline,0.0,33,8,2,False,-0.0258658616049001,0.936127744510978,False,False,-0.0258658616049001,-0.0470411324405819,0.9497012196861702,0.92383535808127,0.0,0.25,1.0,0.005577231621631,1.0,1.0,True,True
baseline,0.0,34,8,3,False,0.0216965014944955,0.8083832335329342,False,False,0.0216965014944955,0.0,0.952720230928082,0.9744167324225776,0.0,0.375,1.0,0.0055938547555318,1.0,1.0,True,True
baseline,0.0,35,8,4,False,0.0186085716720265,0.7624750499001997,False,False,0.0186085716720265,-0.0027695995261909,0.9239708789472736,0.9425794506193002,0.0,0.5,1.0,0.0055167367623648,1.0,1.0,True,True
baseline,0.0,36,8,3,False,0.0336924404058676,0.5868263473053892,False,False,0.0336924404058676,0.0,0.8995653617553963,0.933257802161264,0.0,0.375,1.0,0.0052948318678829,1.0,1.0,True,True
baseline,0.0,37,8,4,False,0.0364411121647538,0.6107784431137725,False,False,0.0364411121647538,0.0048594861533994,0.919855067474834,0.9562961796395878,0.0,0.5,1.0,0.0059499940406081,1.0,1.0,True,True
baseline,0.0,38,8,4,False,0.0417182619717067,0.5149700598802395,False,False,0.0417182619717067,0.0398222969736755,0.8731345215374045,0.9148527835091111,0.0,0.5,1.0,0.0054469147443427,1.0,1.0,True,True
baseline,0.0,39,8,6,True,0.1242841851564378,0.0638722554890219,False,False,0.1242841851564378,0.1240309603295288,0.8312792399863166,0.9555634251427544,0.0,0.75,1.0,0.0055311625135463,1.0,1.0,True,True
baseline,0.0,40,8,4,False,0.0486136846946182,0.5109780439121756,False,False,0.0486136846946182,0.0158516707416462,0.9147410488562276,0.963354733550846,0.0,0.5,1.0,0.0052707689013337,1.0,1.0,True,True
baseline,0.0,41,8,3,False,0.0246325697235232,0.7105788423153693,False,False,0.0246325697235232,-0.0035297557530488,0.9049806202236548,0.929613189947178,0.0,0.375,1.0,0.0053905484455412,1.0,1.0,True,True
baseline,0.0,42,8,2,False,0.037626608259741,0.564870259481038,False,False,0.037626608259741,0.0,0.9120605846902335,0.9496871929499748,0.0,0.25,1.0,0.0055924808030356,1.0,1.0,True,True
baseline,0.0,43,8,3,False,0.0365167630276668,0.7265469061876247,False,False,0.0365167630276668,0.0,0.944772446682688,0.9812892097103548,0.0,0.375,1.0,0.00551179731796,1.0,1.0,True,True
