mechanism,kappa,cohort_replicate,unit_index,family,phi,lambda,neff_p,neff_var,threshold_calibration_max_error,theta_obs,theta_native_null_median,delta_theta,p_native,native_reject_005,delta_positive,native_null_valid_fraction,native_spectral_error_median,native_count_exact_fraction,native_group_count_exact_fraction,injection_monthly_multiset_exact,injection_monthly_event_count_exact,annual_count_mean,annual_count_sd,annual_count_ac1,monthly_indicator_ac1,monthly_indicator_ac12
baseline,0.0,0,0,tinnov,0.8,4.0,4.964583905619269,6.206923406679964,,0.95633078463499,0.9349663674380388,-0.0213644171969511,0.5489021956087824,False,False,1.0,0.0063480484072696,1.0,1.0,True,True,2.896414342629482,1.9933222912030653,0.1087373117801532,0.6189520770996804,0.4410254805111727
baseline,0.0,0,1,gaussian,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,1.0,0.9094529785735864,-0.0905470214264136,1.0,False,False,1.0,0.0049199465611113,1.0,1.0,True,True,2.960159362549801,1.4136522640336844,0.0975785942668273,0.4999164038096315,0.483008321181431
baseline,0.0,0,2,gaussian,0.2,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.9820544554455446,1.0,0.0179455445544554,0.3792415169660678,False,True,1.0,0.0048037595804335,1.0,1.0,True,True,2.9362549800796813,1.2255254660972523,-0.1061712151436696,0.4173886487223734,0.4551879831894233
baseline,0.0,0,3,periodic,0.2,4.0,4.964583905619269,6.206923406679964,2.775557561562892e-17,1.0,1.0,0.0,1.0,False,False,1.0,0.0047194292449228,1.0,1.0,True,True,2.960159362549801,1.107025002912625,-0.08609375496933,0.4256881068503656,0.4658012761386277
baseline,0.0,0,4,periodic,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.8598711969797912,0.9958722635009544,0.1360010665211632,0.2634730538922156,False,True,1.0,0.0051491245236412,1.0,1.0,True,True,2.8884462151394423,1.4488304034440476,-0.0138105010507331,0.4983375189912246,0.4606281930780107
baseline,0.0,0,5,tinnov,0.5,4.0,4.964583905619269,6.206923406679964,,0.6914792387543253,1.0,0.3085207612456747,0.0778443113772455,False,True,1.0,0.0057648322688087,1.0,1.0,True,True,2.9362549800796813,1.5082509852762414,0.0823127197740637,0.5231078013497178,0.4729948181656919
baseline,0.0,0,6,tinnov,0.2,4.0,4.964583905619269,6.206923406679964,,1.0,1.0,0.0,1.0,False,False,1.0,0.0063142160272585,1.0,1.0,True,True,2.944223107569721,1.2388452461258066,0.0132777922416037,0.4458006744090051,0.4813133380277097
baseline,0.0,0,7,gaussian,0.8,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,1.0,1.0,0.0,1.0,False,False,1.0,0.0057552526768386,1.0,1.0,True,True,2.8446215139442232,1.9029650161693048,0.080717056458369,0.5992055996687274,0.4596411212278768
baseline,0.0,1,0,gaussian,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,1.0,0.9549631752897012,-0.0450368247102986,1.0,False,False,1.0,0.0050372440828775,1.0,1.0,True,True,2.8924302788844622,1.4559886190093598,-0.0318445458288589,0.5200590646583727,0.4517807563899146
baseline,0.0,1,1,periodic,0.5,4.0,4.964583905619269,6.206923406679964,1.3877787807814457e-17,0.4991875203119922,0.7883141001531071,0.2891265798411149,0.1217564870259481,False,True,1.0,0.0050579390222177,1.0,1.0,True,True,2.9840637450199203,1.4253485699075048,0.0137177193533633,0.510574571051474,0.452682527948592
