family,phi,lambda,replicate,theta_obs_independent,theta_obs_raw_independent,p_annual_independent,p_native_independent,annual_reject_independent,native_reject_independent,annual_only_independent,native_only_independent,annual_spectral_error_median,native_spectral_error_median,native_month_exact_fraction,theta_obs,theta_abs_diff
gaussian,0.2,0.0,74,1.0,1.1689295552931918,1.0,1.0,False,False,False,False,0.014735413372710216,0.0001957253266463115,1.0,1.0,0.0
gaussian,0.2,0.0,54,1.0,1.0051969365426696,1.0,1.0,False,False,False,False,0.001878908183785342,0.0002023560835607728,1.0,1.0,0.0
gaussian,0.2,0.0,86,1.0,1.4266975308641976,1.0,1.0,False,False,False,False,0.0003644709822004407,0.00019403869577689365,1.0,1.0,0.0
gaussian,0.2,0.0,108,1.0,1.18035157988429,1.0,1.0,False,False,False,False,0.0017346412790246535,0.00019596109183798644,1.0,1.0,0.0
gaussian,0.2,0.0,112,1.0,1.295428830052048,1.0,1.0,False,False,False,False,0.003964894552352248,0.00020301889056392625,1.0,1.0,0.0
gaussian,0.2,0.0,221,1.0,1.2909271725826192,1.0,1.0,False,False,False,False,0.010029550016049524,0.0002027124747751547,1.0,1.0,0.0
gaussian,0.2,0.0,208,1.0,1.2506379264034382,1.0,1.0,False,False,False,False,0.003097730274434201,0.00020576300930871,1.0,1.0,0.0
gaussian,0.2,0.0,149,1.0,1.152037617554859,1.0,1.0,False,False,False,False,0.0010368534019116957,0.00020372121959242977,1.0,1.0,0.0
gaussian,0.2,0.0,270,1.0,1.3988249711649365,1.0,1.0,False,False,False,False,0.0016715579350231368,0.00019996399522900936,1.0,1.0,0.0
gaussian,0.2,0.0,298,1.0,1.272040101845958,1.0,1.0,False,False,False,False,0.0058843143730475354,0.0001971445875058723,1.0,1.0,0.0
gaussian,0.2,0.5,36,1.0,1.048242741759441,1.0,1.0,False,False,False,False,0.00233194317902359,0.00019237625290908356,1.0,1.0,0.0
gaussian,0.2,0.5,19,1.0,1.045014880952381,1.0,1.0,False,False,False,False,0.001841071673371948,0.00020836634723904685,1.0,1.0,0.0
gaussian,0.2,0.5,45,1.0,1.101213023088023,1.0,1.0,False,False,False,False,0.002425436500411401,0.00021330092778041975,1.0,1.0,0.0
gaussian,0.2,0.5,139,1.0,1.3805409466566492,1.0,1.0,False,False,False,False,0.004130409255184966,0.00019178937455667313,1.0,1.0,0.0
gaussian,0.2,0.5,148,0.7613324604065345,0.7613324604065345,0.06,0.09,False,False,False,False,0.002005040839951444,0.0002037859326401956,1.0,0.7613324604065345,0.0
gaussian,0.2,0.5,147,1.0,1.0068752594437527,1.0,1.0,False,False,False,False,0.0024088098140345395,0.0001953593696262101,1.0,1.0,0.0
gaussian,0.2,0.5,195,0.9072997416020672,0.9072997416020672,0.12,0.2,False,False,False,False,0.0061537230388688195,0.00020580256955426312,1.0,0.9072997416020672,0.0
gaussian,0.2,0.5,192,1.0,1.2160706098120129,1.0,1.0,False,False,False,False,0.0012301258392675392,0.00020310001653932953,1.0,1.0,0.0
gaussian,0.2,0.5,258,0.8066443594646272,0.8066443594646272,0.05,0.06,False,False,False,False,0.004377291289245746,0.00019432259339377563,1.0,0.8066443594646272,0.0
